iter	Passed	Remaining
776	1787	512
777	1789	510
778	1791	508
779	1793	505
780	1795	503
781	1797	501
782	1799	498
783	1801	496
784	1803	494
785	1805	491
786	1807	489
787	1809	486
788	1811	484
789	1813	482
790	1815	479
791	1817	477
792	1819	475
793	1821	472
794	1823	470
795	1826	467
796	1828	465
797	1830	463
798	1832	460
799	1834	458
800	1836	456
801	1838	453
802	1840	451
803	1842	449
804	1844	446
805	1846	444
806	1848	442
807	1850	439
808	1852	437
809	1854	435
810	1857	432
811	1859	430
812	1861	428
813	1863	425
814	1865	423
815	1867	421
816	1869	418
817	1871	416
818	1874	414
819	1876	411
820	1877	409
821	1879	407
822	1881	404
823	1883	402
824	1885	400
825	1888	397
826	1890	395
827	1892	393
828	1894	390
829	1896	388
830	1898	386
831	1900	383
832	1902	381
833	1905	379
834	1907	376
835	1909	374
836	1911	372
837	1913	369
838	1915	367
839	1917	365
840	1919	362
841	1922	360
842	1924	358
843	1926	356
844	1928	353
845	1930	351
846	1932	349
847	1934	346
848	1936	344
849	1938	342
850	1940	339
851	1942	337
852	1945	335
853	1947	332
854	1949	330
855	1951	328
856	1953	326
857	1955	323
858	1958	321
859	1960	319
860	1962	316
861	1964	314
862	1966	312
863	1969	309
864	1971	307
865	1973	305
866	1975	302
867	1977	300
868	1979	298
869	1981	296
870	1983	293
871	1985	291
872	1987	289
873	1989	286
874	1991	284
875	1993	282
876	1995	279
877	1997	277
878	2000	275
879	2002	273
880	2004	270
881	2006	268
882	2008	266
883	2010	263
884	2012	261
885	2014	259
886	2016	256
887	2018	254
888	2020	252
889	2022	250
890	2024	247
891	2026	245
892	2028	243
893	2031	240
894	2033	238
895	2035	236
896	2037	233
897	2039	231
898	2041	229
899	2043	227
900	2045	224
901	2047	222
902	2050	220
903	2052	217
904	2054	215
905	2056	213
906	2058	211
907	2060	208
908	2062	206
909	2064	204
910	2066	201
911	2068	199
912	2070	197
913	2072	195
914	2074	192
915	2077	190
916	2079	188
917	2081	185
918	2083	183
919	2085	181
920	2087	179
921	2089	176
922	2091	174
923	2093	172
924	2096	169
925	2098	167
